spawn /usr/bin/ssh axadmin@172.24.179.142 grep wangnan@toshiba .ssh/authorized_keys >>/dev/null ||echo ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEA13Luhl2smtfuRnUCKc5inJM/vPVPzssm4Bt6W9amSVl+xSo7EZFw60UYQJ0rSDI1i6CSpbJZ05zS7itQ5SIlDknLu7tLG032YHb+2Op67oawo1D/MZtyOjjokD38mKP9xy7EQu2MPo6OOgGMKDQz5UbAUlIo6LqQV1PHO4zjZeVTLtOfagPFTtevDIqtkqM+4WmHAgK6Rs4/ocm3gJkJe9uphLNL0yTk+kjJjsoQOtmAbdSXJceRsX+RYQNxfnwekIXZ65e0p+M61h753W60DzIbjqzlaxwD3p+jZn9iCGREUQty8IpjXjM7zhYrn+/FYAWekrcUWAscRRZUZ4vfTQ== wangnan@toshiba >> .ssh/authorized_keys
DB::update_record(BSC,ATCA20_MCS_SMR,JBXMUX,3BK26881AAAD 06.'-'.BS0643U0L5F, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXMUX,3BK26881AAAD 06.'-'.BS0651U03P3, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXLIU,3BK26879AAAE 02.'-'.BS0646U0PD7, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXLIU,3BK26879AAAE 02.'-'.BS0701U02DT, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXLIU,3BK26879AAAE 02.'-'.BS0701U02DZ, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXLIU,3BK26879AAAE 02.'-'.BS0701U02ER, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JAXSMM,3BK27225AABA 02.'-'.BS0702U034C, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JAXSMM,3BK27225AAAA 01.'-'.BS0614U042M, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXSSW,3BK27237AABA 03.'-'.BS0702U036N, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXOMCP,3BK27236AABA 02.'-'.BS0641U0C2A, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXOMCP,3BK27236AABA 02.'-'.BS0641U03F8, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXCCP,3BK27231AAAA 02.'-'.BS0638U0VUY, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXCCP,3BK27231AAAA 02.'-'.BS0638U0VR6, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXCCP,3BK27231AAAA 02.'-'.BS0638U0VUW, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXTP,3BK26859AAAC 07.'-'.BS0524U0PKW, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,ATCA20_MCS_SMR,JBXTP,3BK26859AAAD 09.'-'.BS0607U05DR, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),19.11.2013,16:26:27)
DB::update_record(BSC,AT134_GT,JAXSMM,3BK27225AABB 02.'-'.YP072929985, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),20.11.2013,01:00:07)
DB::update_record(BSC,AT134_GT,JAXSMM,3BK27225AABB 02.'-'.YP073000159, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),20.11.2013,01:00:07)
DB::update_record(BSC,AT134_GT,JBXSSW,3BK27237AABA 04.'-'.YP074005344, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),20.11.2013,01:00:07)
DB::update_record(BSC,AT134_GT,JBXSSW,3BK27237AABA 04.'-'.YP074005339, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),20.11.2013,01:00:07)
DB::update_record(BSC,AT134_GT,JBXOMCP,3BK27236AACD 06.'-'.YP10300651D, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),20.11.2013,01:00:07)
DB::update_record(BSC,AT134_GT,JBXOMCP,3BK27236AACD 06.'-'.YP104602626, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),20.11.2013,01:00:07)
DB::update_record(BSC,AT134_GT,JBXCCP,3BK27231AABB 03.'-'.YP072425207, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),20.11.2013,01:00:07)
DB::update_record(BSC,AT134_GT,JBXCCP,3BK27231AABB 03.'-'.YP073898594, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),20.11.2013,01:00:07)
DB::update_record(BSC,AT134_GT,JBXTP,3BK26859AAAE 08.'-'.BS0746U120E, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),20.11.2013,01:00:07)
DB::update_record(BSC,AT134_GT,JBXTP,3BK26859AAAE 08.'-'.BS0746U128J, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),20.11.2013,01:00:07)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXMUX,3BK26881AAAD 07.'-'.YP0919017D5, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXMUX,3BK26881AAAD 07.'-'.YP0919017BF, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXLIU,3BK26879AAAE 04.'-'.YP0920139E9, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXLIU,3BK26879AAAE 04.'-'.YP0920139E0, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JAXSMM,3BK27225AACA 03.'-'.YP093303866, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JAXSMM,3BK27225AACA 03.'-'.YP093303865, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXSSW,3BK27237AABA 03.'-'.BS0702U033B, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXSSW,3BK27237AABA 05.'-'.YP09260BC11, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXOMCP,3BK27236AACD 06.'-'.YP10460262F, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXCCP,3BK27231AACC 05.'-'.YP093309867, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXCCP,3BK27231AACC 05.'-'.YP09100BE19, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXCCP,3BK27231AAAA 02.'-'.BS0638U0VUV, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA61-MCS-ZWJ,JBXOMCP,3BK27236AACE 06.'-'.YP11200EB8F, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,01:00:23)
DB::update_record(BSC,ATCA142_MCS_james,JBXMUX,3BK26881AABA 08.'-'.YP12230BFD8, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JBXMUX,3BK26881AABA 08.'-'.YP12230BFC7, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JBXLIU,3BK26879AABA 04.'-'.YP12230C108, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JBXLIU,3BK26879AABA 04.'-'.YP12230C122, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JAXSMM,3BK27225AACB 05.'-'.YP122303B42, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JAXSMM,3BK27225AACB 05.'-'.YP122303B41, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JBXSSW,3BK27237AACB 07.'-'.YP122303B5A, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JBXSSW,3BK27237AACB 07.'-'.YP122303B59, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JBXOMCP,3BK27236AACE 06.'-'.YP122503971, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JBXOMCP,3BK27236AABB 02.'-'.YP081504B2B, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JBXCCP,3BK27231AACE 06.'-'.YP122503AD6, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA142_MCS_james,JBXCCP,3BK27231AACE 06.'-'.YP122503982, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),25.11.2013,14:57:31)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXMUX,3BK26881AAAD 06.'-'.BS0736N1WD6, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXMUX,3BK26881AAAD 06.'-'.BS0736N1WCR, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXLIU,3BK26879AAAE 02.'-'.BS0713U023K, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXLIU,3BK26879AAAE 02.'-'.BS0713U02AE, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXLIU,3BK26879AAAE 04.'-'.BS0749N2LWJ, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXLIU,3BK26879AAAE 04.'-'.BS0749N2LRF, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXLIU,3BK26879AAAE 04.'-'.BS0749N2M6G, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXLIU,3BK26879AAAE 04.'-'.BS0749N2LRL, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXLIU,3BK26879AAAE 02.'-'.BS0713U02B5, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXLIU,3BK26879AAAE 02.'-'.BS0713U024R, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXLIU,3BK26879AAAE 02.'-'.BS0713U024K, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXLIU,3BK26879AAAE 02.'-'.BS0713U024G, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JAXSMM,3BK27225AABB 02.'-'.YP072910439, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JAXSMM,3BK27225AABB 02.'-'.YP072910436, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXSSW,3BK27237AABA 04.'-'.YP072910470, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXSSW,3BK27237AABA 04.'-'.YP0812146B9, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXOMCP,3BK27236AABB 03.'-'.YP081216C70, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXOMCP,3BK27236AABB 03.'-'.YP072910467, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXCCP,3BK27231AABB 03.'-'.YP072910469, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXCCP,3BK27231AABB 03.'-'.YP072910474, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXCCP,3BK27231AABA 02.'-'.BS0632U05YW, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXCCP,3BK27231AACD 06.'-'.YP10440852F, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXTP,3BK26859AAAE 08.'-'.BS0746U12B4, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA139_PTN_TZF,JBXTP,3BK26859AAAE 09.'-'.BS0807U118C, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),05.11.2013,01:00:10)
DB::update_record(BSC,ATCA62_VQ_SW,JBXMUX,3BK26881AAAD 07.'-'.YP0919017C0, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXMUX,3BK26881AAAD 07.'-'.YP0919017C1, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXLIU,3BK26879AAAE 04.'-'.YP09280546C, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXLIU,3BK26879AAAE 04.'-'.YP092805470, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JAXSMM,3BK27225AACA 03.'-'.YP09330386A, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JAXSMM,3BK27225AACA 03.'-'.YP093303869, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXSSW,3BK27237AACA 05.'-'.YP093303A3B, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXSSW,3BK27237AACA 05.'-'.YP09100BE41, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXOMCP,3BK27236AACC 05.'-'.YP09100BE22, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXOMCP,3BK27236AACC 05.'-'.YP093303A40, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXCCP,3BK27231AACC 05.'-'.YP093309868, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXCCP,3BK27231AACC 05.'-'.YP09100BE18, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXCCP,3BK27231AACE 06.'-'.YP122503987, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXCCP,3BK27231AACE 06.'-'.YP122503AD1, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXCCP,3BK27231AACE 06.'-'.YP12250397A, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA62_VQ_SW,JBXCCP,3BK27231AACE 06.'-'.YP122503ACF, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),11.11.2013,17:20:18)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXMUX,3BK26881AAAA 06.'-'.BS0610U0AUF, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXMUX,3BK26881AAAD 07.'-'.BS0818N3UJJ, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXLIU,3BK26879AAAE 02.'-'.BS0631U0HG2, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXLIU,3BK26879AAAE 02.'-'.BS0631U0HEH, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXLIU,3BK26879AAAE 02.'-'.BS0631U0HER, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JAXSMM,3BK27225AABB 02.'-'.YP0847139EB, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JAXSMM,3BK27225AABA 02.'-'.BS0639U06AH, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXSSW,3BK27237AABA 04.'-'.YP08121CED0, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXSSW,3BK27237AACC 07.'-'.YP123008BF3, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXOMCP,3BK27236AABA 02.'-'.BS0647U038E, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXCCP,3BK27231AAAA 02.'-'.BS0638U0VRG, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXCCP,3BK27231AAAA 02.'-'.BS0638U0VVE, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXCCP,3BK27231AAAA 02.'-'.BS0638U0VRT, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXCCP,3BK27231AABA 02.'-'.BS0638U0NMN, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXTP,3BK26859AAAD 07.'-'.BS0634U0A9S, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA02_IRoPTN_SW,JBXTP,3BK26859AAAC 07.'-'.BS0518U0F18, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),26.11.2013,01:00:10)
DB::update_record(BSC,ATCA163_MCS_CC,JBXMUX,3BK26881AABA 08.'-'.YP122804F6B, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JBXMUX,3BK26881AABA 08.'-'.YP12230BFCB, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JBXLIU,3BK26879AAAE 04.'-'.BS0735N1P68, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JBXLIU,3BK26879AAAE 04.'-'.BS0738N24B4, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JAXSMM,3BK27225AACB 05.'-'.YP12260B62C, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JAXSMM,3BK27225AACB 05.'-'.YP12260B62B, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JBXSSW,3BK27237AACC 07.'-'.YP123008BF0, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JBXSSW,3BK27237AACC 07.'-'.YP123008BF1, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JBXOMCP,3BK27236AACE 06.'-'.YP1232008A6, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JBXOMCP,3BK27236AACE 06.'-'.YP1222029AF, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JBXCCP,3BK27231AACE 06.'-'.YP123200867, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA163_MCS_CC,JBXCCP,3BK27231AACE 06.'-'.YP12320086E, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,14:02:32)
DB::update_record(BSC,ATCA_17,JBXMUX,3BK26881AAAD 07.'-'.BS0821N44ZB, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JBXMUX,3BK26881AABA 07.'-'.YP105115C1A, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JBXLIU,3BK26879AAAE 02.'-'.BS0631U0HE9, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JAXSMM,3BK27225AACB 04.'-'.YP110802EC6, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JAXSMM,3BK27225AACA 04.'-'.YP1040043B4, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JBXSSW,3BK27237AABA 04.'-'.YP08290DA4C, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JBXSSW,3BK27237AACA 06.'-'.YP10450966D, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JBXOMCP,3BK27236AACD 06.'-'.YP10430F135, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JBXOMCP,3BK27236AACA 05.'-'.YP09100BE2F, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JBXCCP,3BK27231AACA 04.'-'.YP20081029C, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JBXCCP,3BK27231AACA 04.'-'.YP200810297, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
DB::update_record(BSC,ATCA_17,JBXCCP,3BK27231AABB 03.'-'.YP072910462, '',172.24.179.142 ,DBI::db=HASH(0xa0c67d0),27.11.2013,13:56:14)
